names	rpkm
AT3G08600	5.13541418166709e-12
AT4G20860	1.57236699985462e-13
AT3G50380	1.26421398459585e-12
AT1G80060	1.08924297173909e-12
AT1G52240	3.87422157416103e-12
AT5G41320	1.92061993140041e-12
AT1G08050	4.29375514828439e-13
AT1G73700	3.37899070966218e-13
AT1G29395	7.5498168242857e-13
AT4G27430	5.73793951689936e-12
AT1G07630	4.21220844935483e-12
AT5G02244	1.02006397774572e-11
AT2G01220	4.21447929502213e-12
AT4G35560	1.95673478147705e-12
AT1G68150	3.93731964540144e-14
AT5G01410	2.33438665799302e-11
AT5G27720	1.52549943887277e-11
AT2G04205	1.03116722087623e-12
AT3G28230	4.0537586715002e-13
AT2G40250	2.13939315245707e-13
AT3G10480	6.05932237974183e-12
AT1G58370	1.85917234525657e-13
AT5G02260	1.81313569670736e-12
AT2G31040	2.98417809676485e-12
AT4G16233	1.48617680057981e-13
AT1G11020	7.73192194757938e-12
AT5G59610	1.34623932079951e-12
AT1G77350	1.74814875417305e-11
AT5G13300	8.07272779932662e-12
AT3G63530	4.36182065251977e-12
AT3G02910	2.45682343727285e-12
AT1G74440	9.0052716048664e-12
AT3G08080	2.33731236731945e-11
AT3G26445	1.73782974125306e-12
AT5G47690	1.29220507812044e-11
AT1G80070	2.38888452693439e-11
AT5G11080	2.60882834058613e-14
AT5G05470	9.05604439375623e-12
AT4G32530	1.12349210529032e-11
AT2G25790	1.55165336960694e-12
AT1G75260	7.86609846727707e-13
AT3G52730	3.4640434626567e-11
AT5G64880	6.00259140097861e-12
AT3G21660	1.61311005045139e-14
AT1G55730	2.59091395081341e-12
AT1G10910	2.07477384411826e-12
AT5G44870	7.9785949250049e-14
AT3G61500	1.27616481089311e-12
AT3G01485	8.99315305566852e-12
AT1G23140	5.65133204168529e-13
AT1G16630	1.29809646950915e-11
AT4G10730	4.25684080192404e-12
AT5G11390	2.83699162285414e-12
AT1G54150	5.53548477166857e-12
AT3G05290	9.3009156497763e-12
AT5G57830	3.55591374183825e-12
AT1G05000	1.08897038841283e-13
AT2G36580	1.66768232850531e-11
AT2G19310	4.9136468745457e-12
AT5G56720	9.6665735991603e-13
AT3G27010	2.75032693318262e-12
AT2G44830	6.995562924304e-12
AT1G52520	2.75544636345492e-12
AT3G46658	7.8015400495775e-13
AT1G73620	3.56833096894694e-11
AT5G54490	2.84413442620763e-13
AT2G41375	2.99197309687684e-13
AT2G03823	5.25546578755758e-13
AT1G06910	1.84539789771639e-12
AT1G78140	2.27242073197216e-12
AT4G38250	1.09484664519064e-11
AT3G24090	2.3586380610568e-12
AT5G00820	3.7828010938499e-12
AT2G35120	1.76285632537818e-11
AT5G45530	1.39695848221434e-13
AT1G70185	1.07924743851629e-13
AT3G61860	1.12267506678853e-11
AT5G19250	2.34677804461951e-11
AT3G53720	1.56473415034077e-14
AT4G36910	3.96563853748824e-12
AT1G62600	3.78837876377146e-12
AT4G08825	2.96444239385615e-12
AT3G46680	3.05370222603345e-13
AT4G33480	3.91392100979743e-12
AT1G24735	3.66495705117715e-13
AT3G04745	1.73248550920967e-12
AT5G04505	1.42206721310381e-13
AT3G04740	4.63523967073601e-12
AT3G45780	3.97054685885976e-13
AT5G55140	1.59216924285154e-11
AT5G61250	1.14828099854805e-12
AT2G14460	2.14989938480309e-11
AT5G04015	1.41897576264055e-12
AT5G51105	3.6729329738447e-11
AT4G27060	9.28523073742671e-12
AT2G01320	6.10740445206691e-12
AT2G19680	8.06840872501933e-12
AT3G48800	4.20437263004606e-12
AT1G42490	6.54561623360059e-14
AT1G08845	2.24339966166931e-12
AT1G04043	1.05722198058738e-13
AT1G16410	3.21668071562513e-13
AT2G35155	2.34948212007891e-12
AT5G64401	4.50468496076364e-13
AT1G61400	6.2237873486169e-13
AT5G51630	8.15736646143316e-13
AT1G11480	1.66413604357923e-11
AT4G14365	5.50895768084273e-14
AT3G45680	3.31526770838961e-13
AT4G35730	5.09944414698946e-12
AT3G16310	1.47639948784161e-11
AT4G28730	2.49549859331766e-12
AT2G37300	4.65776000827384e-12
AT2G40220	2.71021778282117e-14
AT1G50790	1.9065298977811e-12
AT1G69610	3.55641327550306e-13
AT5G26120	8.44890818596162e-15
AT1G29060	1.50052609382678e-12
AT5G10980	1.19122237103847e-10
AT5G56130	5.62577831763997e-12
AT1G05287	3.60777000875445e-12
AT2G33435	2.40050169769224e-12
AT2G47790	8.43727711507062e-12
AT5G10410	6.54561623360059e-14
AT5G66055	7.34455511035969e-12
AT3G06340	5.44796674211988e-12
AT4G36250	1.16368202771913e-11
AT2G16905	2.18187207786686e-14
AT3G09375	6.78336036180464e-13
AT5G10560	1.35247803226737e-11
AT4G26660	7.82136967207098e-12
AT4G33980	2.04940463918687e-12
AT4G10430	2.80847725127966e-12
AT3G18060	8.06407342926643e-12
AT5G52570	6.21735343920228e-14
AT5G07320	4.26448347513935e-12
AT3G50960	4.46213637664551e-12
AT1G28090	2.82733504979766e-12
AT1G42410	1.23658018530766e-13
AT5G23410	5.04154984344091e-12
AT4G20380	4.48686724134479e-12
