names	edited_features	longest_gene_isoform
AT3G08600	261	1843
AT4G20860	8	1845
AT3G50380	500	14342
AT1G80060	96	3196
AT1G52240	275	2574
AT5G41320	109	2058
AT1G08050	33	2787
AT1G73700	22	2361
AT1G29395	32	1537
AT4G27430	863	5454
AT1G07630	335	2884
AT5G02244	182	647
AT2G01220	417	3588
AT4G35560	310	5745
AT1G68150	2	1842
AT5G01410	1142	1774
AT5G27720	891	2118
AT2G04205	30	1055
AT3G28230	11	984
AT2G40250	12	2034
AT3G10480	585	3501
AT1G58370	21	4096
AT5G02260	110	2200
AT2G31040	211	2564
AT4G16233	3	732
AT1G11020	400	1876
AT5G59610	157	4229
AT1G77350	807	1674
AT5G13300	1563	7021
AT3G63530	322	2677
AT3G02910	75	1107
AT1G74440	969	3902
AT3G08080	136	211
AT3G26445	30	626
AT5G47690	3479	9763
AT1G80070	6564	9964
AT5G11080	2	2780
AT5G05470	470	1882
AT4G32530	672	2169
AT2G25790	162	3786
AT1G75260	40	1844
AT3G52730	1452	1520
AT5G64880	340	2054
AT3G21660	1	2248
AT1G55730	257	3597
AT1G10910	249	4352
AT5G44870	10	4545
AT3G61500	65	1847
AT3G01485	62	250
AT1G23140	18	1155
AT1G16630	1051	2936
AT4G10730	642	5469
AT5G11390	257	3285
AT1G54150	314	2057
AT3G05290	514	2004
AT5G57830	187	1907
AT1G05000	10	3330
AT2G36580	1823	3964
AT2G19310	150	1107
AT5G56720	37	1388
AT3G27010	119	1569
AT2G44830	686	3556
AT1G52520	212	2790
AT3G46658	54	2510
AT1G73620	1786	1815
AT5G54490	8	1020
AT2G41375	5	606
AT2G03823	2	138
AT1G06910	143	2810
AT1G78140	142	2266
AT4G38250	503	1666
AT3G24090	219	3367
AT5G00820	29	278
AT2G35120	859	1767
AT5G45530	12	3115
AT1G70185	1	336
AT3G61860	726	2345
AT5G19250	752	1162
AT3G53720	2	4635
AT4G36910	312	2853
AT1G62600	215	2058
AT4G08825	43	526
AT3G46680	12	1425
AT4G33480	332	3076
AT1G24735	18	1781
AT3G04745	29	607
AT5G04505	3	765
AT3G04740	894	6994
AT3G45780	82	7489
AT5G55140	526	1198
AT5G61250	100	3158
AT2G14460	399	673
AT5G04015	9	230
AT5G51105	551	544
AT4G27060	1015	3964
AT2G01320	688	4085
AT2G19680	447	2009
AT3G48800	168	1449
AT1G42490	2	1108
AT1G08845	134	2166
AT1G04043	1	343
AT1G16410	30	3382
AT2G35155	198	3056
AT5G64401	2	161
AT1G61400	68	3962
AT5G51630	152	6757
AT1G11480	1357	2957
AT4G14365	4	2633
AT3G45680	21	2297
AT4G35730	351	2496
AT3G16310	958	2353
AT4G28730	128	1860
AT2G37300	261	2032
AT2G40220	1	1338
AT1G50790	148	2815
AT1G69610	28	2855
AT5G26120	1	4292
AT1G29060	90	2175
AT5G10980	3827	1165
AT5G56130	406	2617
AT1G05287	39	392
AT2G33435	555	8384
AT2G47790	480	2063
AT5G10410	3	1662
AT5G66055	447	2207
AT3G06340	541	3601
AT4G36250	938	2923
AT2G16905	1	1662
AT3G09375	24	1283
AT5G10560	1261	3381
AT4G26660	737	3417
AT4G33980	157	2778
AT4G10430	261	3370
AT3G18060	787	3539
AT5G52570	4	2333
AT5G07320	292	2483
AT3G50960	213	1731
AT1G28090	264	3386
AT1G42410	8	2346
AT5G23410	166	1194
AT4G20380	305	2465
AT1G79580	1	2910
AT1G16430	207	1067
AT4G20760	143	1829
AT1G65910	53	3592
AT5G14540	871	2854
AT3G27610	113	2760
AT1G15670	36	1720
AT2G34500	12	2244
AT3G32373	3	4906
AT3G62710	21	3149
AT2G01720	2587	3278
AT3G05130	692	2398
AT1G20460	117	2501
AT3G03060	435	3741
AT4G02540	345	2905
AT1G71050	10	1195
AT2G31141	48	808
AT3G48020	1	798
AT1G11595	3	1068
AT5G17530	493	4613
AT1G55820	390	3422
AT1G31480	356	5885
AT4G36090	23	2675
AT2G38570	88	2197
AT3G13845	176	1422
AT5G03415	356	3130
AT2G34185	14	1976
AT4G38062	679	3654
AT1G56150	4	811
AT5G62520	308	1963
AT4G09467	419	537
AT2G05420	1	1548
AT5G07020	236	2037
AT5G50340	345	5172
AT5G28900	1081	4827
AT5G16970	82	2113
